id_stop_departure,id_stop_arrival,price,departure_datetime,arrival_datetime
10,2939,1540,18:53:00,11:53:00
10,2940,1472,18:53:00,10:53:00
10,2939,1540,18:57:00,11:57:00
10,2940,1472,18:50:00,10:50:00
10,1471,1216,18:47:00,7:17:00
10,1466,1028,21:09:00,7:09:00
10,2939,1540,18:47:00,12:00:00
10,1471,1216,18:47:00,7:30:00
10,2949,1388,18:47:00,9:45:00
10,2949,1388,18:45:00,9:30:00
10,2939,1730,18:45:00,11:45:00
10,2940,1650,18:45:00,10:45:00
10,1471,1366,18:45:00,7:15:00
10,1471,1366,18:50:00,7:20:00
10,1466,1155,21:00:00,7:00:00
10,1471,1366,21:00:00,9:30:00
10,2940,1650,18:50:00,10:50:00
10,2939,1730,18:50:00,11:50:00
10,2167,1252,21:00:00,7:30:00
10,2171,925,22:00:00,7:05:00
10,2172,905,22:00:00,7:01:00
10,1471,1210,22:00:00,11:15:00
10,372,1320,19:45:00,11:25:00
10,373,1300,19:45:00,9:50:00
10,1463,794,22:00:00,6:00:00
10,525,1194,20:00:00,8:45:00
10,350,1125,19:45:00,8:10:00
10,15,1280,20:00:00,9:00:00
10,369,1125,19:45:00,6:55:00
10,521,1414,12:30:00,5:00:00
10,645,1178,12:30:00,1:25:00
10,633,1100,20:00:00,8:11:00
10,562,1905,12:30:00,11:15:00
10,369,1297,19:45:00,6:55:00
10,556,875,12:30:00,21:45:00
10,350,1297,19:45:00,8:10:00
10,372,1588,19:45:00,11:25:00
10,1629,940,20:00:00,4:55:00
10,370,1125,19:45:00,7:25:00
10,370,1297,19:45:00,7:25:00
10,15,1445,20:00:00,9:00:00
10,633,1385,20:00:00,8:11:00
10,525,1435,20:00:00,8:45:00
10,1629,1145,20:00:00,4:55:00
10,327,750,20:00:00,2:45:00
10,327,785,20:00:00,2:45:00
10,97,1220,20:00:00,6:33:00
10,2167,1115,22:00:00,9:10:00
10,9,524,23:45:00,5:00:00
10,725,585,23:45:00,6:00:00
10,712,524,23:45:00,4:30:00
10,724,547,23:45:00,5:40:00
10,9,524,7:30:00,12:45:00
10,725,585,23:50:00,6:05:00
10,712,602,23:45:00,4:30:00
10,9,602,16:00:00,21:15:00
10,725,672,23:45:00,6:00:00
10,9,602,23:45:00,5:00:00
10,712,602,16:00:00,20:45:00
10,725,672,16:00:00,22:15:00
10,724,628,16:00:00,21:55:00
10,65,1155,17:15:00,8:45:00
10,65,1155,17:00:00,8:30:00
10,65,1155,17:05:00,8:35:00
10,65,1100,17:15:00,8:45:00
10,65,1100,17:00:00,8:30:00
10,4019,1100,17:15:00,8:30:00
10,2356,1100,17:00:00,10:20:00
10,1186,748,21:05:00,8:00:00
10,924,754,21:10:00,8:50:00
10,924,754,21:00:00,8:05:00
10,2766,754,21:05:00,9:45:00
10,1187,747,21:05:00,7:50:00
10,26,675,21:00:00,5:35:00
10,76,396,21:00:00,2:10:00
10,2800,657,21:05:00,6:50:00
10,922,751,21:05:00,8:25:00
10,2800,657,21:10:00,6:55:00
10,3047,560,21:05:00,4:45:00
10,1185,707,21:05:00,7:35:00
10,924,754,21:05:00,8:45:00
10,2745,499,21:10:00,4:20:00
10,1351,693,21:05:00,7:15:00
10,2761,623,21:10:00,6:15:00
10,2761,623,21:05:00,6:10:00
10,3319,754,21:10:00,9:25:00
10,75,246,21:10:00,0:30:00
10,75,246,21:05:00,0:25:00
10,2745,499,21:05:00,4:15:00
10,1351,693,21:10:00,7:20:00
10,3319,754,21:05:00,9:20:00
10,29,720,21:10:00,10:10:00
10,29,720,21:05:00,10:05:00
10,2765,604,21:05:00,5:45:00
10,2103,515,21:05:00,4:30:00
10,2103,515,21:10:00,4:35:00
10,75,246,21:00:00,0:30:00
10,1185,707,21:00:00,7:10:00
10,922,751,21:00:00,7:50:00
10,2756,754,21:05:00,8:55:00
10,2738,754,21:05:00,9:55:00
10,922,751,21:10:00,8:30:00
10,924,565.50,21:05:00,8:45:00
