id,name,city,province,latitud,longitud
1090,Monteros,Monteros,Tucumán,"-271.700.736,00","-654.939.944,00"
90,Gancedo,Gancedo,Chaco,"-274.901.136,00","-616.750.789,00"
580,Junin de Los Andes,Junin de Los Andes,Neuquén,"-399.485.526,00","-710.737.538,00"
579,San Martin de Los Andes,San Martin de Los Andes,Neuquén,"-40.160.464,00","-713.578.722,00"
2044,Rivadavia,Rivadavia,Buenos Aires,,
2762,Tornquist Acceso,Tornquist,Buenos Aires,,
338,Vedia,Vedia,Buenos Aires,"-344.925.905,00","-615.431.182,00"
546,Terminal de General Acha,General Acha,La Pampa,"-373.670.023,00","-646.009.827,00"
197,Lanus Kolkinis,Lanus,Buenos Aires,,
331,Las Catitas,Las Catitas,Mendoza,,
3237,Centenario,Centenario,Neuquén,"-388.262.625,00","-681.199.484,00"
893,Monte Grande,Monte Grande,Buenos Aires,"-348.223.099,00","-584.715.079,00"
1060,Tapiales,Tapiales,Buenos Aires,,
1061,Del Viso,Del Viso,Buenos Aires,"-344.541.184,00","-587.962.602,00"
1076,Garin,Garin,Buenos Aires,"-344.170.705,00","-587.247.465,00"
3280,Los Condores,Los Condores,Córdoba,,
3265,Glew,Glew,Buenos Aires,"-348.306.965,00","-583.798.133,00"
3975,28 de noviembre,28 de noviembre,Santa Cruz,,
4609,Tatacua Acceso,Concepcion,Corrientes,,
4648,Laborde,Laborde,Córdoba,,
4718,Pascanas,Pascanas,Córdoba,,
4719,Wenceslao Escalante,Wenceslao Escalante,Córdoba,,
8227,Melo,Melo,Córdoba,,
2470,Hotel Sarmiento,Ciudad de Buenos Aires,Capital Federal,,
314,Thames,San Isidro,Buenos Aires,,
8652,Quebrada del Condorito,Cordoba ,Córdoba,,
4533,Plaza Velez Sarfield,Cordoba ,Córdoba,,
916,San Nicolas,San Nicolas,Buenos Aires,"-333.431.802,00","-602.268.335,00"
1476,Alberti,Alberti,Buenos Aires,"-350.532.654,00","-602.626.061,00"
1481,Azul Acceso,Azul,Buenos Aires,"-367.915.518,00","-598.410.243,00"
1428,Bragado Acceso,Bragado,Buenos Aires,"-351.373.176,00","-604.523.778,00"
1519,Colon,Colon,Buenos Aires,"-339.056.758,00","-611.095.262,00"
1654,Lujan Acceso,Lujan,Buenos Aires,"-345.833.779,00","-591.019.097,00"
4711,Moron Shopping,Moron,Buenos Aires,"-346.312.509,00","-586.290.791,00"
2058,San Fernando,San Fernando,Buenos Aires,"-344.365.842,00","-585.683.061,00"
1635,Rotonda II San Justo,San Justo,Buenos Aires,"-346.854.435,00","-585.605.888,00"
